[1.5538315e-03 2.8890048e-04 9.9815732e-01], WALKING
[3.6168791e-02 1.3244666e-04 9.6369874e-01], WALKING
[7.5664726e-04 1.5794234e-05 9.9922752e-01], WALKING
[1.2362568e-03 1.6938809e-04 9.9859434e-01], WALKING
[1.5669031e-03 2.6081013e-04 9.9817228e-01], WALKING
[2.8089879e-03 2.5110148e-04 9.9693990e-01], WALKING
[8.9785503e-03 7.0220121e-04 9.9031925e-01], WALKING
[0.02405015 0.00106641 0.97488344], WALKING
[8.6721648e-03 3.4598526e-04 9.9098188e-01], WALKING
[1.0772547e-03 5.1442592e-05 9.9887127e-01], WALKING
[1.95103104e-03 1.00347606e-04 9.97948587e-01], WALKING
[2.642798e-03 9.169462e-05 9.972656e-01], WALKING
[4.2718532e-03 1.4193149e-04 9.9558616e-01], WALKING
[1.7703876e-03 5.8332236e-05 9.9817121e-01], WALKING
[2.92618992e-03 1.00076875e-04 9.96973753e-01], WALKING
[5.4117828e-03 1.1549448e-04 9.9447268e-01], WALKING
[0.00495832 0.00147717 0.99356455], WALKING
[1.4896817e-03 1.3298748e-04 9.9837732e-01], WALKING
[1.3883766e-03 5.9456994e-05 9.9855214e-01], WALKING
[8.0833957e-03 2.4609236e-04 9.9167049e-01], WALKING
[0.53956246 0.02212226 0.4383152 ], STANDING
[0.06394508 0.01307529 0.9229796 ], WALKING
