[9.6293157e-01 3.6136080e-02 9.3228795e-04], STANDING
[0.97096956 0.0141564  0.01487401], STANDING
[0.505357   0.19701053 0.29763255], STANDING
[0.00826345 0.00381566 0.9879209 ], WALKING
[4.7372055e-04 9.9709928e-01 2.4271279e-03], SITTING
[1.2456374e-04 9.9985516e-01 2.0277132e-05], SITTING
[1.9193505e-04 9.9978632e-01 2.1762587e-05], SITTING
[1.7287661e-04 9.9980634e-01 2.0847161e-05], SITTING
[1.5348427e-04 9.9982494e-01 2.1572594e-05], SITTING
[1.6115936e-04 9.9981719e-01 2.1750975e-05], SITTING
[1.4277453e-04 9.9983823e-01 1.8930548e-05], SITTING
[1.2699848e-04 9.9985492e-01 1.8093631e-05], SITTING
[1.2322137e-04 9.9985576e-01 2.0963629e-05], SITTING
[1.5651884e-04 9.9982327e-01 2.0293064e-05], SITTING
[1.281002e-04 9.998534e-01 1.848985e-05], SITTING
[1.6956363e-04 9.9981135e-01 1.9080841e-05], SITTING
[1.6054440e-04 9.9981922e-01 2.0314164e-05], SITTING
[1.3724378e-04 9.9984491e-01 1.7853990e-05], SITTING
[1.2868951e-04 9.9985313e-01 1.8126377e-05], SITTING
[1.455028e-04 9.998355e-01 1.894695e-05], SITTING
[1.6884350e-04 9.9980778e-01 2.3402943e-05], SITTING
[1.5706196e-04 9.9982351e-01 1.9392093e-05], SITTING
[1.6184585e-04 9.9981910e-01 1.9059000e-05], SITTING
[1.5982351e-04 9.9982113e-01 1.9107485e-05], SITTING
[1.6732908e-04 9.9981207e-01 2.0660402e-05], SITTING
[1.5147377e-04 9.9982566e-01 2.2864930e-05], SITTING
[1.404621e-04 9.998381e-01 2.140069e-05], SITTING
[1.5050429e-04 9.9982882e-01 2.0626218e-05], SITTING
[1.6909483e-04 9.9980837e-01 2.2518556e-05], SITTING
[1.3247077e-04 9.9984753e-01 2.0043342e-05], SITTING
[1.6006366e-04 9.9981958e-01 2.0429048e-05], SITTING
[1.4452131e-04 9.9983442e-01 2.0962661e-05], SITTING
[1.5308549e-04 9.9982494e-01 2.2106657e-05], SITTING
[1.4720752e-04 9.9983060e-01 2.2168451e-05], SITTING
[1.5410288e-04 9.9982738e-01 1.8467590e-05], SITTING
[1.8231092e-04 9.9979931e-01 1.8341472e-05], SITTING
[1.5646020e-04 9.9982053e-01 2.3052364e-05], SITTING
[1.4768094e-04 9.9983132e-01 2.1012836e-05], SITTING
[1.3728988e-04 9.9984217e-01 2.0500631e-05], SITTING
[1.3366835e-04 9.9984837e-01 1.7983602e-05], SITTING
[1.6246586e-04 9.9981946e-01 1.8070692e-05], SITTING
[1.4052888e-04 9.9984038e-01 1.9061496e-05], SITTING
[1.4657769e-04 9.9983537e-01 1.7993643e-05], SITTING
[1.3239244e-04 9.9985015e-01 1.7416611e-05], SITTING
[1.4931988e-04 9.9983215e-01 1.8464703e-05], SITTING
[1.7668157e-04 9.9980301e-01 2.0427035e-05], SITTING
[1.7340621e-04 9.9980670e-01 1.9901807e-05], SITTING
[1.5928873e-04 9.9981779e-01 2.3056720e-05], SITTING
[1.3013165e-04 9.9985158e-01 1.8284622e-05], SITTING
[1.7331539e-04 9.9980539e-01 2.1307758e-05], SITTING
[1.2496764e-04 9.9985659e-01 1.8433606e-05], SITTING
[2.0997474e-04 9.9976796e-01 2.2088561e-05], SITTING
[1.5156205e-04 9.9982858e-01 1.9834104e-05], SITTING
[1.7197309e-04 9.9980861e-01 1.9478119e-05], SITTING
[2.2375293e-04 9.9970835e-01 6.7799425e-05], SITTING
[4.1150875e-04 9.9911374e-01 4.7479442e-04], SITTING
[0.00653557 0.12037627 0.87308824], WALKING
